name,icon,cover,restype,tags,devices,path,paid_type
????????????,https://raw.githubusercontent.com/Searchstars/Hyperbilibili_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/Searchstars/Hyperbilibili_AstroBox_Release/refs/heads/main/preview.png,quickapp,?????????;????????????;??????;??????;??????;??????;????????????;B???;b???,n62;o62;o65m;n67,searchstars/hyperbili.json,
Starfield Chronomark,https://raw.githubusercontent.com/Searchstars/StarfieldWatchFace_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/Searchstars/StarfieldWatchFace_AstroBox_Release/refs/heads/main/preview.png,watchface,??????;Starfield;??????;??????;??€???,n62;o62,searchstars/starfield_watchface.json,
??????Pro,https://raw.githubusercontent.com/wuhaiqi0621/muyuPro_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/muyuPro_ForAstroBox/refs/heads/main/head.png,quickapp,????????????;??????;??????,n66;n67;o66;o66nfc,charlie_q/muyuPro.json,paid
Hyper Box,https://raw.githubusercontent.com/wuhaiqi0621/HyperBox_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/HyperBox_ForAstroBox/refs/heads/main/head.png,quickapp,????????????;?????????;?????????;?????????;????????€??€;?????????;????????????;??????;?€??????????;????????????;?????????;?????????;?????????,n66;n67;o66;o66nfc,charlie_q/hyperbox.json,
?€??????? ?????????,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Quickapp_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Quickapp_AstroBox_Release/refs/heads/main/preview.png,quickapp,????????????;??????;?€???????;?€???????;?????????;??????;??????,n66;n67;o62;o62m;o65;o65m;o66;o66nfc,sf_yuzifu/daymatter_quickapp.json,
?€??????? ??????,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Watchface_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/Daymatter_Watchface_AstroBox_Release/refs/heads/main/preview.png,watchface,????????????;??????;?€???????;?€???????;?????????;??????;??????;??????,n66;n67;o62;o62m;o66;o66nfc,sf_yuzifu/daymatter_watchface.json,
?????????????????????,https://raw.githubusercontent.com/sf-yuzifu/FireworkMaster_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/sf-yuzifu/FireworkMaster_AstroBox_Release/refs/heads/main/preview.png,quickapp,??????;??????;??????;????????????,n66;n67;o65;o65m;o66;o66nfc,sf_yuzifu/firework_master.json,
???????????????,https://raw.githubusercontent.com/NEORUAA/MiaoReader_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/NEORUAA/MiaoReader_AstroBox_Release/refs/heads/main/cover.png,quickapp,????????????;?????????;??????;??????,o66;o66nfc;n67,neoruaa/miao_reader.json,
??????,https://raw.githubusercontent.com/aurysian-yan/leap-n67-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/aurysian-yan/leap-n67-astrobox/refs/heads/main/cover.png,watchface,??????;??????;??????;????????????,n67,aurysian_yan/leap.json,
????????????,https://raw.githubusercontent.com/DDguan2010/vela-minecraft/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-minecraft/refs/heads/main/preview0.png,quickapp,??????;????????????;??€?????????;??????,o66;o66nfc;n66;n67,02studio/minecraft.json,force_paid
